15th street cafe	303 w 15th st	5124787000		16	15th street cafe-doubletree guest suites
219 west	612 w 6th st	5124742194	219west	195	219 west
ancho's	700 san jacinto blvd	5124763700		84	ancho's restaurant
annie's cafe and bar	congress ave	5124772377	anniescafebar	213	annie's cafe & bar
arturo's bakery  cafe	314 w 17th st	5124690380		258	arturo's bakery & cafe
athenian grill	600 congress ave	5124747775	athenianbargrill	139	athenian bar & grill
b.d. riley's irish pub	204 e 6th st	5124941335	bdrileys.com/map	211	bd riley's irish pub
backspace	507 san jacinto blvd	5124749899	thebackspace-austin	14	backspace
bakerman's bakery	120 e 7th st	5124760060	bakermansbakery	265	bakerman's bakery
banger's sausage house  beer garden	79-81 rainey st	5123861656	bangersaustin	261	banger's sausage house & beer garden
bar chi sushi	206 colorado st	5123825557		214	barchi sushi
bar louie	123 w 6th st	5127303050	barlouieamerica.com/locations/austin.aspx	269	bar louie
benji's cantina	716 w 6th st	5124768226	benjiscantina	103	benjis cantina
bess bistro	500 w 6th st	5124772377	bessbistro	136	bess bistro on pecan
big fat greek gyros	95 rainey st	5123646635	bigfatgreekgyros	131	big fat greek gyros
bikinis sports bar  grill	214 e 6th st	5124690001	bikinissportsbarandgrill	189	bikinis sports bar & grill
blue ribbon barbecue	120 e 4th st	5123693119	brbbq.net	47	blue ribbon barbecue
bob's steak  chop house	301 lavaca street	5122222627	bobs-steakandchop	26	bob's steak & chop house
boiling pot	700 e 6th st	5124720985		15	the boiling pot
brian's brew	515 congress	5127387713	briansbrew	217	brian's brew coffee
brick oven	1209 red river st	5124777006	brickovenrestaurant	68	brick oven restaurant
bull mccabe's	714 red river st	5124784022		176	bull mccabes
buzios room	217 congress	5124795002		28	copa bar & grill
cafe crepe	210 e 2nd st	5124800084	cafecrepeofaustin	122	cafe crepe le
carmelo's italian	504 e 5th st	5124777497	carmelosrestaurant	2	carmelo's restaurant
carol's cafe	333 guadalupe st	5123220108		105	carol's cafe
casa chapala	101 san jacinto blvd downtown	5124791200	casachapala	153	casa chapala mexican restaurant
cedar door	201 brazos	5124733712	cedardooraustin	263	cedar door
cedar door bar and grill	201 brazos st	5124733712	cedardooraustin	263	cedar door
chez nous	510 neches st	5124732413	cheznousaustin.com/about.html	64	chez nous.
chick-fil-a	503 w martin luther king blvd	5120000000		125	chick-fil-lay
chicken bowl	1610 lavaca st	5124749003		119	chicken bowl
chinatown downtown	109 west fifth st	5126378888	chinatown-downtown.com/index.htm	178	chinatown downtown
chipotle mexican grill	801 congress ave	5123911668	chipotle	164	chipotle mexican grill
chupacabra	400 east 6th street	5124695860	chupacabracantina	152	chupacabra
clay pit	1601 guadalupe st	5123225131	claypit	227	clay pit
coal vines	314 west 2nd street	5124732744	coalvines.com/home.htm	117	coal vines
congress	200 congress ave	5128272763	congressaustin	51	congress
copa bar and grill	217 congress ave	5124795002	copabarandgrill	28	copa bar & grill
cozzoli's pizza	704 congress ave	5124808440	cozzolis	79	cozzoli's pizza
craft pride	61 rainey st	5124285571		44	craft pride
cr?	238 w 2nd st	5124729463	cruawinebar	50	cru wine bar
daily juice	205 w 3rd st	5122436532	dailyjuicecafe	247	daily juice group
del marco, john - pecan tree	20 n i h 35			132	pecan tree restaurant
delish	209 west 3rd street	5124734118	delishaustin	248	delish bakery ltd
dog  duck pub	406 w 17th st	5124790598	dogandduckpub	177	dog & duck pub
driskill grill	604 brazos st	5124745911	driskillgrill	240	driskill hotel
easy tiger	709 e sixth st	5123321122	easytigeraustin	231	easy tiger
eddie v's edgewater grille	301 e 5th st	5124721860	eddiev	6	eddie v's - 5th street
el ceviche grill	115 san jacinto	5124945649	elcevichegrill	73	pacific latin fusion
el mercado	1702 lavaca st	5124777689		74	el mercado restaurant
el naranjo	85 rainey st	5124742776	elnaranjo-restaurant	129	el naranjo
el sol y la luna	600 e 6th st	5124447770	elsolylalunaaustin	225	el sol y la luna
extreme pita	515 congress ave suite 130	8885127482	extremepita	150	extreme pita
fado irish pub and restaurant	214 w 4th st	5124570172	fadoirishpub.com/austin	53	fado irish pub
finn  porter	500 e 4th st	5124934900	finnandporter.com/austin	169	finn & porter
fleming's prime steakhouse  wine bar	320 e 2nd st	5124571500	flemingssteakhouse	38	fleming's prime steakhouse & wine bar
fogo de ch?o	e 3rd st	5126876800	fogo	7	fogo de chao
frank  angie's pizzeria	508 west ave	5124723534	hutsfrankandangies	36	frank & angie's pizzeria.
frank	407 colorado	5124946916	hotdogscoldbeer	24	frank restaurant
garrido's	360 nueces st	5123208226	garridosaustin	62	garrido's
geisha sushi	616e e 6th st	5124802211	sushigeisha	181	geisha sushi & grill
ginger man	301 lavaca st	5124738801	gingermanpub.com/austin/a-frame.html	228	the ginger man
g'raj mahal	91 red river street austin, tx 78701	5124802255	grajmahalaustin	75	g'raj mahal cafe
halcyon	218 w 4th st	5124729637	halcyonaustin	174	halcyon coffee house bar & lounge
hickory street	800 congress ave	5124778968	hickorystreet	171	hickory street
hideout coffee house	617 congress ave	5124760473	thehideout.org	229	hideout
hoboken pie	718 red river st	5124774256	hobokenpie	142	hoboken pie
hoffbrau steakhouse	w 6th st	5124800084	originalhoffbrausteaks	48	hoffbrau steak
how do you roll?	w 2nd st	5124820378	howdoyouroll	200	how do you roll?
ihop	707 e cesar chavez st	5124781188	ihop	32	ihop
iii forks	111 lavaca st	5124741776	iiiforks	29	3 forks
imperia	310 colorado st	5124726770	imperia-austin	34	imperia
iron cactus	606 trinity st	5124729240	ironcactus	55	iron cactus mexican grill & margarita bar
iron works barbecue	100 red river st	5124784855	ironworksbbq	8	iron works barbeque.
j. black's feel good lounge	710 w 6th st	5124336954	jblacks	175	j blacks feel good lounge
jackalope	e 6th st	5122360662	jackalopebar	243	jackalope
jamba juice	600 congress ave #g280	5124788696		268	jamba juice
janitzio mexican	600 w martin luther king jr blvd	5123220040		127	janitzio mexican restaurant
javelina bar	69 rainey st	5123826917	javelinabar	262	javelina bar
jo's	242 w 2nd st	5124699003	joscoffee.com/downtown/josdowntown.htm	46	jo's coffee downtown
juan pelota	400 nueces st	5124730222	mellowjohnnys	251	juan pelota cafe
kenichi	419 colorado st	5123208883	kenichiaustin	215	kenichi
koriente	621 e 7th st	5122750852	koriente	209	koriente restaurant
kt's deli	300 w 15th st	5124959313		109	kt's deli
la condesa	400-a w 2nd street	5124990300	lacondesaaustin	63	la condesa
la traviata	314 congress ave	5124798131	latraviata.net	37	la traviata
lambert's downtown barbeque	401 w 2nd st	5124941500	lambertsaustin	4	lambert's downtown barbeque
lavaca street sports bar	405 lavaca st	5124690106	lavacastreet	194	lavaca street bar
lavaca teppan	1712 lavaca st	5125208630		203	lavaca teppan
leaf	419 w 2nd st	5124745323	leafsalad	72	leaf
liberty tavern	500 e 4th st	5124828000		25	liberty tavern
little woodrow's	520 west sixth st	5124772337	littlewoodrows.com/index.php	190	little woodrow's on west 6th
mai thai restaurant	207 san jacinto blvd	5124828244	maithaiaustin	182	mai thai restaurant
maiko sushi lounge	w 6th st	5124762422	maikoaustin	219	maiko sushi lounge
malaga tapas  bar	440 w 2nd st	5122368020	malagatapasbar	145	malaga tapas & bar
manuel's	310 congress ave	5124727555	manuels	157	manuel's downtown
max's wine dive	207 san jacinto	5129040111	maxswinedive.com/austin/index.php	61	max's wine dive
meneo	217 congress ave	5124795094		252	meneo
messhall cafe	1019 brazos street	5123229625	messhallcafe	237	mess hall
micheladas cafe y cantina	333 e 2nd street	5123200300	micheladasaustin	202	micheladas cafe y cantina
milano's	217 w 4th st	5123269492		93	milano's
moonshine patio bar  grill	303 red river st	5122369599	moonshinegrill	0	moonshine patio bar & grill
mugshot's	407 e 7th street	5122360008	mugshotsaustin.com/index.html	180	mugshots
mulberry	20  nueces st		mulberryaustin	208	mulberry
murphy's deli	301 congress ave	5124748881	austinmurphysdeli	149	murphy's deli
no va kitchen  bar	20 rainey st		novaonrainey	128	no va kitchen & bar
old pecan street cafe	504 trinity st	5124782491	oldpecanstcafe	17	old pecan street cafe
onion	408 brazos st	5124766466	onionbaby	49	the onion
p.f. chang's china bistro	201 san jacinto blvd	5124578300	pfchangs	201	p.f. chang's
papa john's pizza	411 e martin luther king blvd	5124767272	papajohns	69	papa john's pizza
parkside	301 e 6th st	5124749898	parkside-austin	3	parkside
pecan tree restaurant at holiday inn austin	20 n ih-35	5124728211	hiaustintownlake.pacificahost	132	pecan tree restaurant
peche	208 w fourth street	5124944011	pecheaustin	12	peche
pelon's	802 red river st	5122437874	pelonsaustin	101	pelons tex mex
perry's steakhouse  grille	114 w 7th st	5124746300	perryssteakhouse.com/locations-menus/austin	11	perry's steak house austin
piranha killer sushi	207 san jacinto	5124738775	piranhakillersushi	170	piranha killer sushi
pizzeria papparazzi	607 san jacinto blvd	5123919997		88	pizzeria papparazzi
players	300 w martin luther king jr blvd	5124789299	austinplayers	141	players
quattro gatti	908 congress ave	5124763131	quattrogattiaustin	30	quattro gatti
quiznos	922 congress ave	5124949300	quiznos	163	quiznos
ranch 616	616 nueces st	5124797616	theranch616	65	ranch 616.
roaring fork	20  congress ave		roaringfork.com/default.aspx	66	roaring fork
roppolo's pizza cart	w 4th st at colorado st	5124761490	virtual-restaurants.com/roppolos	58	roppolo's pizzeria
roppolo's pizzeria	414 e 6th st	5124775877		91	roppolos pizzeria
russian house	307 e 5th street	5124285442	russianhouseofaustin	245	russian house
ruth's chris steak house	107 w 6th st	5124777884	ruthschris.com/steak-house/4011/austin	18	ruth's chris steak house
scholz garten	1607 san jacinto blvd	5124741958	scholzgarten.net	40	scholz garden
second bar + kitchen	200 congress ave	5128272750	congressaustin	172	second bar & kitchen
serranos	1111 red river st	5123229080	serranos	226	serranos cafe & cantina
silhouette sushiya	718 congress ave	5124788899		186	silhouette restaurant & bar
simon's cafe	1212 rio grande st	5124820378		110	simon's cafe-rio grande
slake cafe	120 east 7th street	5124760060	slakecafe	265	bakerman's bakery
starbucks coffee	111 e cesar chavez st	5124789611	starbucks	257	starbucks coffee
stephen f. austin cafeteria	1700 congress ave	5124760901		123	stephen f austin cafeteria
stubb's bar-b-q	20  red river st		stubbsaustin	33	stubb's catering
subway	809 congress ave	5124439339	subway	162	subway
sullivan's steakhouse	300 colorado st	5124956504	sullivansteakhouse	23	lone star steakhouse & saloon
sully's side bar	300 colorado st	5124956504	sullivanssteakhouse.com/sullyssidebar	23	lone star steakhouse & saloon
sweetish hill bakery	98 san jacinto blvd	5124722411		259	sweetish hill bakery
t.g.i. friday's	111 e cesar chavez st	5124782991	tgifridays	52	t.g.i. friday's
taco cabana	517 w martin luther king jr blvd	5124780875	tacocabana	167	taco cabana
taco shack	402 brazos st	5124730101	tacoshack	76	taco shack
taverna	258 w 2nd st	5124771001	tavernabylombardi	9	taverna
tenoak bourbon house + lounge	409 colorado st	5124772789	tenoakaustin	191	tenoak bourbon house + lounge
texadelphia	501 w 15th st	5123919189	texadelphia	13	texadelphia
texas chili parlor	1409 lavaca st	5124722828	txchiliparlor	10	texas chili parlor
thai passion	620 congress ave	8663190532	thaipassion	212	thai passion
the bonneville	202 w cesar chavez st	5124284643	thebonnevilleaustin	124	bonneville
the dogwood	715 west 6th street	5125319062	thedogwoodaustin	197	the dogwood
the jalopy rotisserie and press	1504 san antonio	5128148557	jalopyaustin	116	the jalopy rotisserie & press
thistle cafe	221 w 6th st	5122759777		238	thistle cafe
thundercloud subs	20  nueces st		thundercloud	114	thundercloud subs
tiff's treats	1806 nueces st	5124732600	cookiedelivery.com/austin	221	tiff's treats
trifecta	20  nueces #30		trifectaaustin.com/home.html	199	trifecta on 3rd
trio at the four seasons	98 san jacinto blvd	5126858300	trioaustin	20	trio
truluck's	400 colorado st	5124829000	trulucks.com/pages/downtown-austin	19	truluck's seafood downtown
vince young steakhouse	301 san jacinto	5124578325	vinceyoungsteakhouse	5	vince young steakhouse
wahoo's fish taco	509 rio grande st	5124763474	wahoos	60	wahoo's fish taco
walton's fancy and staple	609 w 6th street	5125423380	waltonsfancyandstaple	267	walton's fancy & staple
which wich	259 w 3rd st	5124729424	whichwich	166	which wich
wholly cow burgers	619 congress ave	5124250811	whollycowburgers	165	wholly cow burgers
willie g's seafood and steaks	401 congress avenue	5122369600	williegs	94	willie g's
bobalu cigar and coffee	509 e 6th st	5124695877	bobalucigarco	274	bobalu cigar company
caffe medici	200 congress ave #2b	5128272770	caffemedici.com/locations/austonian	275	caffe medici austonian
cantina laredo	201 w 3rd st	5125429670	cantinalaredo	273	cantina laredo
pizza hut	1811 guadalupe st	5123208030	utexas.edu/student/txunion/food	276	pizza hut
